simulation,sample_comp_mean,sample_comp_std,correctness
1,14072.0,0.0,100.0
2,11614.0,2458.0,100.0
3,12050.3333333,2099.6705,100.0
4,12320.25,1877.50558,100.0
5,11577.2,2242.43505,100.0
6,10846.6666667,2618.93564,100.0
7,10916.4285714,2430.67732,100.0
8,11059.125,2304.82193,100.0
9,11096.3333333,2175.55393,100.0
10,10645.4,2467.75186,100.0
11,11075.5454545,2717.79916,100.0
12,11181.9166667,2625.90164,100.0
13,11070.6923077,2552.13586,100.0
14,11336.2142857,2639.06797,100.0
15,11347.0666667,2549.90521,100.0
16,11069.5625,2692.7252,100.0
17,10977.8823529,2637.94184,100.0
18,11028.5,2572.09975,100.0
19,10844.9473684,2621.82204,100.0
20,10999.1,2642.3003,100.0
21,10941.0,2591.67875,100.0
22,10886.4545455,2544.39955,100.0
23,10980.4782609,2527.24796,100.0
24,10891.2916667,2510.73808,100.0
25,11022.24,2542.281,100.0
26,10925.8461538,2539.07516,100.0
27,11083.2592593,2617.70501,100.0
28,11190.3214286,2630.04449,100.0
29,11231.5172414,2593.47851,100.0
30,11215.0333333,2551.43221,100.0
31,11210.0967742,2510.08837,100.0
32,11228.53125,2472.68809,100.0
33,11288.6969697,2458.60636,100.0
34,11199.0294118,2476.34561,100.0
35,11139.0571429,2465.63708,100.0
36,11010.2777778,2547.73219,100.0
37,11048.6486486,2523.59113,100.0
38,10955.8947368,2553.28052,100.0
39,10999.5897436,2534.68598,100.0
40,11009.175,2503.5176,100.0
41,10920.4146341,2535.71848,100.0
42,10967.3333333,2523.29785,100.0
43,10900.3953488,2531.23501,100.0
44,10830.2954545,2544.17676,100.0
45,10740.1555556,2585.82742,100.0
46,10666.0652174,2605.41104,100.0
47,10692.3191489,2583.68806,100.0
48,10728.6875,2568.76179,100.0
49,10707.9183673,2546.4835,100.0
50,10750.7,2538.61573,100.0
51,10713.0392157,2527.67135,100.0
52,10674.5961538,2518.25853,100.0
53,10637.245283,2508.88765,100.0
54,10608.5555556,2494.30881,100.0
55,10651.2909091,2491.40074,100.0
56,10668.5714286,2472.37959,100.0
57,10577.1754386,2544.24879,100.0
58,10571.8448276,2522.54131,100.0
59,10557.9152542,2503.32129,100.0
60,10546.7666667,2483.84923,100.0
61,10500.7704918,2489.03725,100.0
62,10529.9354839,2479.36858,100.0
63,10544.6349206,2462.33414,100.0
64,10568.03125,2450.0692,100.0
65,10600.5076923,2444.99279,100.0
66,10559.6666667,2448.6391,100.0
67,10563.6567164,2430.51315,100.0
68,10536.0882353,2423.10589,100.0
69,10562.3333333,2415.19927,100.0
70,10664.2428571,2542.92338,100.0
71,10658.2676056,2525.44682,100.0
72,10566.25,2624.97124,100.0
73,10572.0273973,2607.39088,100.0
74,10530.6891892,2613.68736,100.0
75,10543.3066667,2598.47217,100.0
76,10500.8815789,2607.33703,100.0
77,10512.1168831,2592.20208,100.0
78,10524.9102564,2577.97724,100.0
79,10549.7594937,2570.99286,100.0
80,10506.6,2583.51231,100.0
81,10540.7530864,2585.62349,100.0
82,10533.7439024,2570.58328,100.0
83,10577.3012048,2585.31598,100.0
84,10576.3571429,2569.89551,100.0
85,10573.0117647,2554.91774,100.0
86,10583.8255814,2541.97601,100.0
87,10629.7816092,2563.00577,100.0
88,10604.7272727,2559.09407,100.0
89,10611.8876404,2545.5629,100.0
90,10577.8,2551.72623,100.0
91,10566.9230769,2539.76409,100.0
92,10603.0108696,2549.2745,100.0
93,10590.5053763,2538.3673,100.0
94,10569.4148936,2533.00807,100.0
95,10578.1368421,2521.05979,100.0
96,10543.3958333,2530.65128,100.0
97,10495.8659794,2560.28233,100.0
98,10508.6428571,2550.29263,100.0
99,10540.1313131,2556.45553,100.0
100,10519.99,2551.52343,100.0
101,10492.5049505,2553.69467,100.0
102,10485.0686275,2542.24444,100.0
103,10459.9223301,2542.58873,100.0
104,10511.1153846,2583.12434,100.0
105,10519.2571429,2572.1348,100.0
106,10526.9716981,2561.19357,100.0
107,10520.9906542,2549.94092,100.0
108,10539.5648148,2545.36993,100.0
109,10543.0458716,2533.92527,100.0
110,10551.2181818,2523.82375,100.0
111,10560.6576577,2514.37928,100.0
112,10540.8214286,2511.8383,100.0
113,10590.6902655,2555.78359,100.0
114,10569.3245614,2554.66534,100.0
115,10532.2347826,2574.17729,100.0
116,10523.8017241,2564.65263,100.0
117,10522.4957265,2553.70779,100.0
118,10501.2542373,2553.223,100.0
119,10507.4957983,2543.37641,100.0
120,10465.025,2574.78264,100.0
121,10471.0495868,2564.97014,100.0
122,10486.3852459,2560.00041,100.0
123,10486.2439024,2549.57314,100.0
124,10495.6451613,2541.41151,100.0
125,10505.216,2533.46813,100.0
126,10506.6507937,2523.44565,100.0
127,10479.5511811,2531.83154,100.0
128,10466.0625,2526.49925,100.0
129,10448.9922481,2524.0869,100.0
130,10460.5307692,2517.77314,100.0
131,10431.0916031,2530.50534,100.0
132,10431.8560606,2520.91706,100.0
133,10440.887218,2513.56457,100.0
134,10416.2835821,2520.19198,100.0
135,10440.2962963,2526.18017,100.0
136,10467.5882353,2536.77306,100.0
137,10508.2408759,2571.57613,100.0
138,10540.3985507,2589.7408,100.0
139,10541.9352518,2580.47151,100.0
140,10543.8785714,2571.3411,100.0
141,10538.1985816,2563.08791,100.0
142,10529.5352113,2556.1179,100.0
143,10528.1538462,2547.21793,100.0
144,10533.3611111,2539.12169,100.0
145,10509.8482759,2546.03355,100.0
146,10492.109589,2546.27442,100.0
147,10512.292517,2549.29031,100.0
148,10511.027027,2540.70958,100.0
149,10494.0134228,2540.61451,100.0
150,10492.52,2532.19726,100.0
151,10524.7549669,2554.49079,100.0
152,10507.7763158,2554.60804,100.0
153,10533.4575163,2565.85583,100.0
154,10528.5844156,2558.22178,100.0
155,10530.683871,2550.0892,100.0
156,10528.2820513,2542.07857,100.0
157,10486.2165605,2587.86515,100.0
158,10461.2025316,2598.63326,100.0
