simulation,sample_comp_mean,sample_comp_std,correctness
1,17229.0,0.0,100.0
2,15274.5,1954.5,100.0
3,15249.6666667,1596.22896,100.0
4,14459.0,1945.87294,100.0
5,13487.8,2608.07495,100.0
6,13788.6666667,2474.06202,100.0
7,13926.1428571,2315.15766,100.0
8,13573.25,2358.32444,100.0
9,13922.7777778,2433.32807,100.0
10,14166.3,2421.30225,100.0
11,14068.3636364,2329.30178,100.0
12,14018.25,2236.32169,100.0
13,14119.6153846,2177.0924,100.0
14,14029.0,2123.18723,100.0
15,13868.4,2137.40234,100.0
16,13827.6875,2075.52905,100.0
17,13781.3529412,2022.07069,100.0
18,13648.0555556,2040.50858,100.0
19,13402.3157895,2243.10478,100.0
20,13298.3,2232.82545,100.0
21,13438.952381,2267.98724,100.0
22,13401.0,2222.65756,100.0
23,13394.9130435,2173.98946,100.0
24,13367.0,2132.42212,100.0
25,13420.48,2105.70125,100.0
26,13420.5769231,2064.81001,100.0
27,13388.6296296,2032.74976,100.0
28,13324.7142857,2023.56053,100.0
29,13406.0689655,2034.433,100.0
30,13373.0333333,2008.1342,100.0
31,13345.0,1981.43762,100.0
32,13237.53125,2039.9608,100.0
33,13232.3030303,2009.03223,100.0
34,13339.1470588,2072.24872,100.0
35,13328.8,2043.32156,100.0
36,13352.0833333,2019.44553,100.0
37,13437.4864865,2056.82105,100.0
38,13441.3421053,2029.71269,100.0
39,13401.9230769,2018.20367,100.0
40,13409.575,1993.38931,100.0
41,13434.7804878,1975.3725,100.0
42,13402.5952381,1962.56489,100.0
43,13425.4651163,1945.2647,100.0
44,13481.0909091,1957.32096,100.0
45,13469.8,1936.89933,100.0
46,13499.6086957,1926.13812,100.0
47,13553.7659574,1940.61592,100.0
48,13590.5,1936.73781,100.0
49,13603.7755102,1919.07862,100.0
50,13675.22,1964.51443,100.0
51,13697.7058824,1951.64669,100.0
52,13710.1346154,1934.82671,100.0
53,13754.754717,1943.30926,100.0
54,13842.1851852,2027.72118,100.0
55,13917.4363636,2083.9107,100.0
56,13899.5357143,2069.48296,100.0
57,13938.4561404,2071.82344,100.0
58,13999.1034483,2104.30417,100.0
59,14038.1016949,2107.4282,100.0
60,14023.2,2092.92482,100.0
61,14008.4918033,2078.82308,100.0
62,14027.0483871,2067.07737,100.0
63,14056.6984127,2063.85372,100.0
64,14071.625,2051.09098,100.0
65,14104.2307692,2051.89967,100.0
66,14140.7878788,2057.51486,100.0
67,14109.3134328,2058.04885,100.0
68,14125.0147059,2046.89884,100.0
69,14116.5072464,2033.22277,100.0
70,14140.0571429,2028.10379,100.0
71,14135.8169014,2014.08319,100.0
72,14142.5138889,2000.8435,100.0
73,14113.109589,2002.69471,100.0
74,14094.1486486,1995.70315,100.0
75,14087.8266667,1983.09965,100.0
76,14077.2894737,1972.12216,100.0
77,14072.2597403,1959.76492,100.0
78,14068.1025641,1947.50347,100.0
79,14055.4936709,1938.3397,100.0
80,14053.375,1926.27903,100.0
81,14050.2716049,1914.55272,100.0
82,14004.5609756,1946.80691,100.0
83,14011.8795181,1936.17815,100.0
84,14027.797619,1930.07473,100.0
85,14012.6588235,1923.69802,100.0
86,14021.6744186,1914.28644,100.0
87,14014.2298851,1904.50471,100.0
88,13996.3863636,1900.95259,100.0
89,14014.741573,1898.06919,100.0
90,14000.5888889,1892.2113,100.0
91,13997.967033,1881.95019,100.0
92,13998.0326087,1871.69436,100.0
93,14008.6774194,1864.40211,100.0
94,14006.5106383,1854.57628,100.0
95,14023.3684211,1852.0156,100.0
96,14052.1666667,1863.60409,100.0
97,14044.7010309,1855.41546,100.0
98,14047.255102,1846.09616,100.0
99,14027.1818182,1847.46688,100.0
100,14011.35,1844.94351,100.0
101,13998.039604,1840.60644,100.0
102,13978.4607843,1842.10053,100.0
103,13995.1165049,1840.83826,100.0
104,13995.0769231,1831.96674,100.0
105,14031.8380952,1861.36595,100.0
106,14037.0566038,1853.3367,100.0
107,14054.5140187,1853.39153,100.0
108,14028.9444444,1863.65528,100.0
109,14052.5321101,1871.21231,100.0
110,14023.2181818,1887.66222,100.0
111,14035.4594595,1883.52078,100.0
112,14029.3214286,1876.20815,100.0
113,14027.8849558,1867.94976,100.0
114,14022.2719298,1860.69588,100.0
115,14019.1565217,1852.88684,100.0
116,14009.1637931,1847.99255,100.0
117,14002.9059829,1841.31212,100.0
118,14029.9322034,1856.65199,100.0
119,14023.4369748,1850.18029,100.0
120,14011.4083333,1847.12171,100.0
121,14019.0330579,1841.36846,100.0
122,14031.2377049,1838.71397,100.0
123,14002.7723577,1858.01937,100.0
124,13989.3870968,1856.45703,100.0
125,13972.784,1858.23664,100.0
126,13981.031746,1853.14367,100.0
127,13981.1496063,1845.83389,100.0
128,13960.453125,1853.34413,100.0
129,13955.8139535,1846.8926,100.0
130,13974.3153846,1851.73724,100.0
131,13972.4961832,1844.77261,100.0
132,13969.7045455,1838.04929,100.0
133,13982.6766917,1837.18154,100.0
134,13984.261194,1830.40476,100.0
135,13983.2740741,1823.64868,100.0
136,13979.3014706,1817.51792,100.0
137,13982.7883212,1811.32899,100.0
138,13994.7608696,1810.18668,100.0
139,13981.6978417,1810.17971,100.0
140,13993.9,1809.43121,100.0
141,14001.4822695,1805.23402,100.0
142,13998.6408451,1799.18272,100.0
143,14000.2237762,1792.98006,100.0
144,13998.6736111,1786.83975,100.0
145,14008.3448276,1784.44548,100.0
146,13995.1712329,1785.385,100.0
147,13997.0272109,1779.44322,100.0
148,13990.472973,1775.20091,100.0
149,13973.4765101,1781.27554,100.0
150,13964.2866667,1778.8685,100.0
151,13967.2251656,1773.33365,100.0
152,13969.8026316,1767.77444,100.0
153,13972.6732026,1762.34332,100.0
154,13968.2662338,1757.4577,100.0
155,13973.1612903,1752.83223,100.0
156,13994.8653846,1767.97662,100.0
157,14004.4203822,1766.3733,100.0
158,14008.0,1761.34581,100.0
159,14005.8553459,1756.00519,100.0
160,13992.8,1758.23272,100.0
161,14009.8385093,1765.96458,100.0
162,14025.4444444,1771.60686,100.0
163,14008.4601227,1779.34465,100.0
164,14003.1280488,1775.21727,100.0
165,14012.9818182,1774.32265,100.0
166,14027.7710843,1779.14161,100.0
167,14039.2095808,1779.91854,100.0
168,14048.0357143,1778.2749,100.0
169,14037.8934911,1777.87268,100.0
170,14045.1705882,1775.15851,100.0
171,14034.4619883,1775.45891,100.0
172,14014.877907,1788.71797,100.0
173,14016.4219653,1783.65573,100.0
174,14018.0804598,1778.65667,100.0
175,14033.44,1785.10252,100.0
176,14039.625,1781.90344,100.0
177,14035.519774,1777.69714,100.0
178,14047.1853933,1779.47759,100.0
179,14033.5027933,1783.86499,100.0
180,14022.5388889,1784.94052,100.0
181,14024.9005525,1780.2849,100.0
182,14028.6868132,1776.11788,100.0
183,14023.7704918,1772.49979,100.0
184,14022.7608696,1767.72941,100.0
185,14010.9891892,1770.16198,100.0
186,14010.8548387,1765.39801,100.0
187,14013.0909091,1760.93545,100.0
188,14008.9414894,1757.16227,100.0
189,14019.952381,1758.9985,100.0
190,14027.2210526,1757.20706,100.0
191,14023.2670157,1753.44827,100.0
192,14031.1354167,1752.25356,100.0
193,14041.880829,1754.039,100.0
194,14043.0412371,1749.58671,100.0
195,14073.8153846,1796.96502,100.0
196,14066.8265306,1795.03008,100.0
197,14058.4263959,1794.32639,100.0
198,14068.2070707,1795.04648,100.0
199,14061.2211055,1793.227,100.0
200,14061.835,1788.75928,100.0
201,14056.358209,1785.98435,100.0
202,14059.7772277,1782.21742,100.0
203,14067.0394089,1780.81596,100.0
