simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,8318.0,0.0,100.0,1.42079
2,8437.0,119.0,100.0,1.49512
3,7946.0,701.14383,100.0,1.4962
4,7789.5,664.96522,100.0,1.42696
5,8560.8,1653.28696,100.0,1.41892
6,8866.66666667,1656.97623,100.0,1.4168
7,9041.42857143,1592.66953,100.0,1.41652
8,9112.5,1501.6257,100.0,1.42439
9,9161.11111111,1422.40707,100.0,1.42029
10,9071.7,1375.81496,100.0,1.43524
11,9103.54545455,1315.64788,100.0,1.41421
12,9224.5,1321.974,100.0,1.41427
13,9154.0,1293.37787,100.0,1.41535
14,9047.42857143,1304.21847,100.0,1.42371
15,9080.0,1265.87493,100.0,1.47377
16,9001.9375,1262.41561,100.0,1.42186
17,8962.0,1235.09781,100.0,1.41437
18,8937.5,1204.54252,100.0,1.4209
19,8895.78947368,1185.69565,100.0,1.43664
20,8992.35,1229.93302,100.0,1.41481
21,8982.28571429,1201.1353,100.0,1.41488
22,8864.86363636,1291.00519,100.0,1.46418
23,8898.30434783,1272.33313,100.0,1.42128
24,8848.25,1268.46575,100.0,1.43252
25,8797.4,1267.55768,100.0,1.41837
26,8867.30769231,1291.15583,100.0,1.41907
27,8863.81481481,1267.14512,100.0,1.42351
28,8817.46428571,1267.40597,100.0,1.4884
29,8835.75862069,1249.11918,100.0,1.41516
30,8823.63333333,1229.8587,100.0,1.43539
31,8825.32258065,1209.89505,100.0,1.41587
32,8870.0,1216.5439,100.0,1.42516
33,8793.12121212,1274.46552,100.0,1.49753
34,8789.79411765,1255.72896,100.0,1.41855
35,8826.97142857,1256.50125,100.0,1.44456
36,8823.16666667,1239.13141,100.0,1.44751
37,8871.91891892,1256.78647,100.0,1.41633
38,8913.0,1265.06497,100.0,1.42102
39,8889.33333333,1257.23425,100.0,1.42128
40,8859.3,1255.50789,100.0,1.41924
41,8869.14634146,1241.6649,100.0,1.41838
42,8860.71428571,1227.98164,100.0,1.42728
43,8869.20930233,1214.86687,100.0,1.42412
44,8914.90909091,1237.80553,100.0,1.42123
45,8919.75555556,1224.39698,100.0,1.41809
46,8909.65217391,1212.91027,100.0,1.41544
47,8867.4893617,1233.54147,100.0,1.44553
48,8821.5,1260.68634,100.0,1.45151
49,8786.36734694,1271.27546,100.0,1.45615
50,8741.58,1296.96102,100.0,1.45204
51,8772.15686275,1302.25673,100.0,1.42096
52,8743.28846154,1306.04835,100.0,1.41429
53,8727.71698113,1298.53247,100.0,1.50116
54,8729.37037037,1286.50915,100.0,1.41482
55,8765.87272727,1302.67561,100.0,1.42058
56,8779.375,1294.86986,100.0,1.46245
57,8802.92982456,1295.50872,100.0,1.41629
58,8838.06896552,1311.40656,100.0,1.42338
