,Epilepsy
IFT27,-0.011974793205800896
DYNLRB2,-0.021872928098491198
PRKAB2,0.012906872478744348
ART2B,-0.010538890017442142
FKBP10,-0.016862529754347072
SEMA4A,0.05296243966953924
PLPP7,0.015260651369907383
SCN3B,0.02125662654200555
FBL,-0.012020716577531452
RHOB,0.011539747451477983
DSG2,-0.01158552364325455
COPS4,-0.012028860188588373
INPPL1,-0.02153153030697825
OLFR1499,-0.010359029486463634
PWWP3A,0.014074231006689206
EGR4,0.03015530645186141
ZFP46,-0.0167180182969526
RIOK3,0.014190101795988137
POLR3K,0.02730975176863531
MCTS1,-0.024026872039265575
CXCL9,-0.018009285086522036
TCF12,-0.010481252536681121
ZC3HAV1L,0.01184221508794851
ALG5,-0.030237012152025886
NDUFA5,-0.013461011258426284
TTYH1,0.019409610364306478
CSTF1,0.04918028963437284
ST8SIA5,0.03479616794063322
CNNM3,0.015120220442206747
APOE,-0.013525127632220179
MRPL48,-0.027508793334461407
IGSF1,0.011050160422046151
MASP2,-0.011434107769927976
RNF11,-0.025361272302732996
CCL27B,0.035205503938853654
PSMD12,0.010419616294217997
INCENP,0.012382678259775478
NUDT18,0.01157543661085633
BMPR1B,-0.03097162024762248
IRF6,0.013047826568082375
CREB3,-0.013940449872957363
RAD23A,-0.01589728453618034
IMPDH1,0.015394403528843617
ZP2,-0.014603744234967814
UHRF2,0.010964913531069494
IMPAD1,-0.0402221075276398
CEMIP,0.013096071044100249
KCNAB1,0.011069713650501235
EEF1AKMT4-BRD9,0.011274002957523002
ACAT3,-0.01283967207478696
PAK3,0.03633081372404563
COL6A2,-0.011875258044655715
GRIN1,-0.012224479164614195
H2-APLP2,0.016479000801804294
C6,-0.010601674818695376
CDK5,0.020669083937644054
B2M,-0.025591829329919144
NT5M,-0.0145653892858771
IER3,-0.01943382762657491
IDI2,-0.01117381592690471
NAPA,-0.020958738605452398
SLC25A14,-0.012710228482044892
RAVER1,0.011507549085359788
LRRTM1,0.023585926297446137
SEC24C,0.023179341812339826
SZRD1,-0.0140384250321518
PRMT2,0.032234738775373195
CIC,-0.021505890409194147
ELP2,0.02817890368907235
NCCRP1,0.012788997590390377
RAB15,-0.01585194318405813
INTS14,0.012382307943729269
CLUH,0.010403042307580044
GOT1,0.025953672943738793
