simulation,sample_comp_mean,sample_comp_std,correctness,theta_dist
1,206.0,0.0,100.0,1.48403
2,198.0,8.0,100.0,1.41428
3,192.666666667,9.97775,100.0,1.42215
4,174.5,32.63051,100.0,1.41539
5,187.4,38.95433,100.0,1.41695
6,193.666666667,38.22158,100.0,1.41753
7,198.571428571,37.37018,100.0,1.41423
8,195.25,36.04424,100.0,1.53295
9,200.444444444,37.02285,100.0,1.4603
10,205.6,38.3776,100.0,1.46582
11,207.545454545,37.10517,100.0,1.41868
12,207.166666667,35.5477,100.0,1.76207
13,213.461538462,40.52087,100.0,1.52853
14,218.071428571,42.43729,100.0,1.41756
15,216.933333333,41.21887,100.0,1.5117
16,218.8125,40.56818,100.0,1.57992
17,216.941176471,40.06241,100.0,1.75783
18,212.0,43.94188,100.0,1.90162
19,214.631578947,44.20313,100.0,1.41536
20,213.8,43.2361,100.0,1.41575
21,210.714285714,44.39342,100.0,1.41429
22,212.318181818,43.9911,100.0,1.41424
23,209.086956522,45.61551,100.0,1.45432
24,210.083333333,44.91002,100.0,1.44514
25,211.6,44.62555,100.0,1.47261
26,213.269230769,44.54778,100.0,1.41468
27,213.407407407,43.72071,100.0,1.54679
28,213.964285714,43.03029,100.0,1.78435
29,212.137931034,43.37227,100.0,1.42232
30,208.166666667,47.7054,100.0,1.41449
31,208.0,46.93853,100.0,1.71796
32,206.625,46.82931,100.0,1.4149
33,203.060606061,50.32978,100.0,1.7625
34,201.205882353,50.71592,100.0,1.57142
35,206.228571429,57.93399,100.0,1.81014
36,207.111111111,57.3618,100.0,1.4681
37,205.945945946,57.01159,100.0,1.56983
38,207.184210526,56.75842,100.0,1.42406
39,206.384615385,56.24243,100.0,1.41644
40,204.925,56.27805,100.0,1.45304
41,204.926829268,55.5875,100.0,1.42118
42,204.642857143,54.95185,100.0,1.62194
43,202.720930233,55.71912,100.0,1.42156
44,205.75,58.55422,100.0,1.74042
45,207.022222222,58.51172,100.0,1.97706
46,209.282608696,59.82571,100.0,1.42319
47,207.723404255,60.12317,100.0,1.6603
48,206.1875,60.41821,100.0,2.21903
49,204.673469388,60.71156,100.0,1.67318
50,204.6,60.10358,100.0,1.52349
51,203.960784314,59.68281,100.0,1.4518
52,202.980769231,59.51906,100.0,1.42964
53,205.075471698,60.85921,100.0,1.41548
54,204.222222222,60.61221,100.0,1.50538
55,202.909090909,60.8289,100.0,1.41473
56,202.696428571,60.30397,100.0,1.48703
57,201.087719298,60.9729,100.0,1.50298
58,201.879310345,60.73972,100.0,1.41431
59,200.830508475,60.75016,100.0,1.41444
60,201.316666667,60.35741,100.0,1.41485
61,200.508196721,60.18731,100.0,1.96738
62,200.387096774,59.70745,100.0,1.43688
63,199.317460317,59.82748,100.0,1.77232
64,198.96875,59.42274,100.0,1.41648
65,200.8,60.75656,100.0,1.63621
66,200.151515152,60.52078,100.0,1.49338
67,199.626865672,60.21847,100.0,1.42888
68,198.970588235,60.01494,100.0,1.43933
69,200.637681159,61.14392,100.0,1.41552
70,199.014285714,62.18532,100.0,1.46688
71,197.676056338,62.75276,100.0,1.59412
72,200.930555556,68.08253,100.0,1.41422
73,200.287671233,67.8343,100.0,1.41422
74,200.581081081,67.42103,100.0,1.43284
75,200.506666667,66.9731,100.0,1.43325
76,200.197368421,66.58493,100.0,1.43034
77,200.025974026,66.16802,100.0,1.59868
78,200.371794872,65.8125,100.0,1.96227
79,200.670886076,65.44796,100.0,1.41673
80,200.475,65.06093,100.0,1.43361
81,200.518518519,64.65924,100.0,1.56625
82,200.256097561,64.30715,100.0,1.41436
83,200.518072289,63.96259,100.0,1.41987
84,200.952380952,63.70372,100.0,1.60473
85,201.117647059,63.346,100.0,1.98941
86,201.38372093,63.02439,100.0,1.42198
87,199.965517241,64.02648,100.0,1.46338
88,200.375,63.77612,100.0,1.47072
89,199.95505618,63.53905,100.0,1.41422
90,200.477777778,63.37722,100.0,1.41746
91,200.912087912,63.16256,100.0,1.41474
92,201.239130435,62.89577,100.0,1.43422
93,201.35483871,62.56655,100.0,1.42359
94,201.510638298,62.25099,100.0,1.44878
95,202.042105263,62.13651,100.0,1.42705
96,201.958333333,61.81743,100.0,1.46168
97,203.855670103,64.2463,100.0,1.65672
98,203.224489796,64.21926,100.0,1.45047
99,202.545454545,64.24673,100.0,1.4881
100,203.34,64.41168,100.0,1.41467
101,204.772277228,65.67289,100.0,1.46456
102,205.411764706,65.66543,100.0,1.43336
103,204.766990291,65.66955,100.0,1.41422
104,205.528846154,65.80887,100.0,1.55031
105,206.266666667,65.92554,100.0,1.4186
106,206.924528302,65.95921,100.0,1.58074
107,207.242990654,65.73209,100.0,1.41437
108,207.305555556,65.43027,100.0,1.63947
109,207.587155963,65.19515,100.0,1.41634
110,208.8,66.1219,100.0,1.48719
111,208.774774775,65.82391,100.0,1.54987
112,207.946428571,66.10798,100.0,1.43399
113,207.194690265,66.29391,100.0,1.46317
114,206.49122807,66.42477,100.0,1.44708
115,206.026086957,66.32154,100.0,1.45969
116,206.672413793,66.39781,100.0,1.63046
